model_phase,model_subphase,qrp_coded,target,practice_coded,include,notes,reason_coded,practice_source,evidence_source,reason_source,solution_source,source
Model Evaluation,Model Performance Metric,Poor Practice,output,Improper use of model evaluation metrics (e.g. using an evaluation metric ill-suited to the stated model purpose).,FALSE,NA,"Improper use of evaluation measures, such as AUC, may overrate the performance of SDMs with biologically meaningless predictors.","""Post-hoc evaluation of distribution models is commonly performed to assess their predictive performance and statistical significance  (Peterson et al., 2011). The most common diagnostic metrics in the area  of SDMs is the area under the receiver operating curve (ROC) (AUC;  Porfirio et al., 2014), obtained by plotting the model sensitivity against  its false positive rate at all possible thresholds (Hanley & McNeil, 1982)."" \...\ ""it has been widely adopted by the SDM  community to measure the performance of models in discriminating  between presences and absences of species (Lobo, Jimenez-Valverde, &  Real, 2008). AUC has been adapted to presence-only (or presencebackground) modelling approaches by comparing the predicted suitability at presence points versus background points taken from the training  area. In this context, the implementation of AUC in a SDM framework  is usually carried out by partitioning species occurrences into two sets:  a training dataset, which is used to compute the model, and a test dataset that is used thereafter to evaluate the model’s discrimination ability  (Fielding & Bell, 1997). This process can be repeated several times, each  partition being used alternately to train and to test the model. This  approach assumes that training and testing data are spatially independent, an assumption rarely fully met in practice, especially when occurrences are randomly partitioned (Veloz, 2009)."" \[...\]. ""We have demonstrated that SDMs computed using meaningless variables as input environmental predictors are often classified as good or even excellent according to the most widely used evaluation measures.""","""The flaws of AUC that our results suggest have been known for a while (Lobo et al., 2008). Yet, it is still used in more than 80% of distribution modelling papers published in recent years in leading biogeography journals. More than half of SDM studies even relied on this single measure alone to assess the performance of their models."" \...\ ""As it appears that standard evaluation metrics can hardly discriminate biologically relevant SDMs from meaningless models"" \[...\] ""our results showed that, as for AUC, c. 30% of models based on pseudopredictors were better evaluated (lower AICc) than those based on real environment variables."" \[...\] ""We showed, in line with other authors (Jimenez-Valverde, 2012; Lobo et al., 2008), that two widely used evaluation metrics overrate the performance of biologically meaningless SDMs.""","""We showed, in line with other authors (Jimenez-Valverde, 2012; Lobo et al., 2008), that two widely used evaluation metrics overrate the performance of biologically meaningless SDMs."" \...\""We have demonstrated that SDMs computed using meaningless variables as input environmental predictors are often classified as good or even excellent according to the most widely used evaluation measures."" \[...\] ""Moreover, AUC has  been recognized as a highly questionable measure for several years  (Lobo et al., 2008), especially when used with background data instead  of true absences (Jimenez-Valverde, 2012). Many alternative metrics  have been proposed to evaluate SDMs (see for example Allouche,  Tsoar, & Kadmon, 2006; Hijmans, 2012; Phillips & Elith, 2010). However, despite these criticisms, so far none of these alternatives seems to  have taken over from AUC in most SDM studies.""","""inferences based on  SDMs could be improved by using an effective method of model evaluation.""",[@Fourcade2018]
Model Evaluation,Model Performance Metric,S-hacking,output,Changing model output or evaluation metric thresholds after observing outcome.,TRUE,NA,NA,NA,NA,"""Calculation of some evaluation indices requires a threshold. The threshold will vary by study because there is no single, default method for choosing a threshold.""",NA,[@feng2019]
Model Application,Model Output,S-hacking,output,Changing model output or evaluation metric thresholds after observing outcome.,TRUE,NA,NA,NA,NA,"""Often, the model predictions are in continuous format, which is subsequently transformed into a binary prediction under a particular threshold. Researchers have proposed different ways of thresholding for different purposes and under varied assumptions.""",NA,[@feng2019]
Model Application,Model Results,S-hacking,output,Changing model output format or transformation after observing results.,TRUE,NA,NA,NA,NA,"""The raw model predictions are sometimes transformed (for example, logistic transformation) via different methods under different assumptions.""",NA,[@feng2019]
Model Evaluation,Model Performance Metric,Poor Practice,"output, model",Using information-theoretic approaches to perform in-sample model assessment.,FALSE,NA,Information theoretic approaches do not provide a direct measure of predictive accuracy and therefor the selected model may be the 'best' of a poor selection. This links to the need for theory informing model-specification.,"""In ecological research, information-theoretic approaches are commonly adopted to perform in-sample assessment @Hooten:2015vw.""","""commonly adopted"" in ecological research @Hooten:2015vw.","""However, as they do not provide a direct measure of predictive accuracy, the best-performing model or models may only be the best of a poor selection (Taper et al. 2008).""",NA,[@Bodner2020]
"Model Evaluation, Data","Data Partitioning, Model Tuning",Poor Practice,"intput, output","Resubstitution: assessing model performance on training set only or failing to evaluate model on independent data, or on partitioned holdout data.",FALSE,NA,Overrates model performance or results in spurious model specification.,"""Relying only on in-sample assessments is suboptimal (Mosteller and Tukey 1977)""",NA,"""top-performing models from in-sample assessment may have worse transferability than lower ranked models (Wenger and Olden 2012) \...\ both approaches \[(cross-validation and information-theoretic approaches on in-sample model assessment )\] may select for more complex models when uncertainties are not accounted for (Dietze 2017a), reinforcing the need for out-of-sample assessment and uncertainty quantification when selecting final models. \[...\] While out-of-sample assessment may be optimized with fully independent data, often this type of data is not available in ecology (Urban et al. 2016, Dietze et al. 2018""",NA,[@Bodner2020]
Model Evaluation,Model Performance Metric,Poor Practice: pre-QRP,output,Failing to define model prediction properties.,FALSE,"This is the next step on from the problem formulation phase. It's the failure to precisely operationalise the model evaluation procedure based on the problem articulated during the problem formulation phase, perhaps because the problem was imprecisely formulated. It can provide the opportunity for QRPs.","Aids in choosing most appropriate model type. Increases transparency, and therefore improves accuracy and reliability.","Inverse of ""Establishing expected prediction properties refers to establishing a priori the characteristics and expected accuracy and/or precision levels of predictions (Refsgaard et al. 2007). For example, we may specify if predictions will be qualitative or quantitative, and if quantitative, whether predictions will be regarded as first approximations or precise values. We may also state whether they will be deterministic or probabilistic and what level of accuracy is acceptable given the model purpose. Additionally, if the predictions are probabilistic, we may state the amount of uncertainty expected given our purpose and knowledge about the model, data, and system.""",NA,NA,NA,[@Bodner2020]
Problem Formulation,NA,Poor Practice: pre-QRP,"model, output, input","Failing to define or inadequately defining model purpose, framing and or scope.",FALSE,NA,"Stating the model purpose, scope and framing clearly helps to clarify expectations about what a model can do, and how we should use it, therefore avoiding, controversy, mis-application, and misinterpretation. Unclear model purposes / inappropriate scope can introduce context uncertainty into the model.","""The first step to building an appropriate predictive model is to establish the context and the frame of the question. \...\ Explicitly defining the purpose refers to specifying the intentions of a predictive model, which could be, for example, to inform policy management (Taylor and Hastings 2004, Lowe et al. 2014) or to test a theory (e.g., Bailly et al. 2014, Borregaard et al. 2017 ) in either a general or specific system.""",NA,NA,NA,[@Bodner2020]]
"Model Evaluation, Problem Formulation","Model Performance Metric, Model Purpose",Poor Practice: pre-QRP,"output, model","Failure to explicitly state the model purpose, and / or failure to establish a priori performance metrics and measures after establishing the model purpose before beginning modelling.",FALSE,NA,NA,"Once the purpose has been specified, we should establish performance metrics for this purpose -- i.e. what properties or characteristics of prediction do we wish to achieve with the model? This should be set *a priori* (examples given): ""Establishing expected prediction properties refers to establishing a priori the characteristics and expected accuracy and/or precision levels of predictions (Refsgaard et al. 2007). For example, we may specify if predictions will be qualitative or quantitative, and if quantitative, whether predictions will be regarded as first approximations or precise values. We may also state whether they will be deterministic or probabilistic and what level of accuracy is acceptable given the model purpose. Additionally, if the predictions are probabilistic, we may state the amount of uncertainty expected given our purpose and knowledge about the model, data, and system.""",NA,"""a clear purpose helps avoid unnecessary controversies that may just stem from misunderstandings regarding what a model is and is not supposed to do (Grimm et al. 2010). \...\ Defining the explicit model purpose prevents misinterpretation of the model’s goals and limitations (Grimm et al. 2010)  and can lead to more informed model choices \[...\]  A priori establishment of expected prediction properties establishes a baseline for model evaluations, thus increasing transparency, and allows for mismatches between desired and observed properties to be addressed, thus improving accuracy and reliability.""",NA,[@Bodner2020]
"Model Evaluation, Data","Data Partitioning, Data Partitioning",Poor Practice,input,"Resubstitution: assessing model performance on training set only or failing to evaluate model on independent data, or on partitioned holdout data.",FALSE,NA,Model performance is overestimated / overrated or model is overfitted.,"""The same data are used for development and testing. Therefore, the performance evaluation will be the same as the calibration evaluation and model performance is likely to be overestimated because the model has been ‘tuned’ to the results. This approach is the least rigorous, and should be avoided.""",NA,NA,NA,[@Bennett2013]
Model Evaluation,Performance Measure Weighting,Poor Practice: pre-QRP,output,Failure to establish relative weighting of performance measures prior to beginning modelling.,FALSE,NA,NA,"""There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",NA,NA,NA,[@Bennett2013]
Model Evaluation,Model Performance Metric,S-hacking,output,"Changing the relative weighting of model performance metrics after observing model results, when there are multiple model evaluation analyses.",TRUE,NA,NA,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation ... There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",NA,NA,NA,[@Bennett2013]
Model Evaluation,Model Performance Metric,Selective Reporting,output,Selectively reporting performance metrics that increase perception of performance after fitting model and/or observing model evaluation / model checking results.,TRUE,NA,NA,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation ... There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",NA,NA,NA,[@Bennett2013]
Model Construction,Model Specification,Poor Practice,model,Over-simplifying models due to ideological stance rather than based on modelling objectives or performance measures linked to those objectives.,FALSE,NA,Model is not fit for purpose / may not be the most appropriate or adequate model.,NA,"""Ecologist E explained how his local model of vegetation dynamics was at first “quite complicated” until a colleague of his department “forced \him\ to make it as simple as possible”, leading him to discard terms in the time transfer function describing plant density, selecting linear functions and removing any differentiation between plant components. Ecologist E consequently parameterized or suppressed the terms of the transfer function the colleague had addressed, while they had been physically represented before.  Interestingly, while ecologist E seemingly easily accepted the input of his colleague, he rejected comments of the reviewers of the first journal he submitted the manuscript on his model to, which deemed it too simplistic. Conversely, the interviewee modified the (nowadays widely used) model towards even greater simplicity with one of his doctoral students in later stages of model development.  \[...\] Simplicity was repeatedly advocated in the course of the interview as a form of epistemic virtue to which the interviewee was increasingly tending over his career. While he had already built “very simple models” during his PhD, he had started to complexify them after it; the encounter with his colleague appeared to have resonated with his epistemic stance and brought him back to an approach of modelling which he nowadays strongly identified himself with. His colleague’s questions, we could interpret, had steered the representation towards their shared epistemic stance. The reviewers’ and hydrologists’ comments, distant from it, had been disregarded. \[...\] The consistent and repeated use of the term “simplicity” in ecologist E’s discourse could be linked to the simplicity/complexity dichotomy being often discussed within the discipline (e.g. Peck, 2004, and Merow et al., 2014), simplicity having historically been a well-established epistemic view on modeling in ecology (see the analysis of Evans et al., 2013).""",NA,NA,[@Babel2019]
Model Construction,NA,Poor Practice,model,Constructing new model / using new modelling approach rather than applying pre-existing one that might be superior.,FALSE,NA,Novel model / approach may be inferior to pre-existing model / approach.,NA,NA,"""Constructing a new model rather than using a pre-existing one could prove profitable in the long term. Interviewee B reported that while no direct application was determined, the model would contribute to establish an innovative orientation of the research group in hydrology: its existence would open up collaborations with other groups and funding opportunities, as well as enable to attract researchers whose expertise would be durably beneficial for the institute.""",NA,[@Babel2019]
Problem Formulation,"Model Purpose, Outcome Variable",Poor Practice: pre-QRP,"model, output",Failure to clearly define research question or give precise definition of parameter of interest.,FALSE,NA,NA,Inverse of: '*clearly defined research question and give a precise definition of the parameter of interest.*',NA,NA,NA,[@Bodner2020]
Model Evaluation,Robustness Checks,Selective Reporting,output,Selective reporting of robustness checks in support of main results.,TRUE,NA,NA,"""However, there is evidence that robustness analyses are selectively reported that support the main results at 100 per- cent (Young and Holsteen 2017). Therefore, we need more serious robustness checks. In this vein, it should become standard to present the full distribution of estimates that can be obtained based on all reasonable specifications. Multiverse analysis, as used in this article, seems particularly promising in this regard. In addition, one can complement summary tables (e.g., descriptive statistics and regression tables) with visualizations that disclose the full variance in raw data and results (Cumming 2014; Healy and Moody 2014). If the robustness analysis shows that results vary widely over the model space, then researchers need to make explicit why they chose their specific model specification. This will increase transparency and credibility of social research.""","""However, there is evidence that [robustness analyses] are selectively reported that support the main results at 100 percent (Young and Holsteen 2017).""",NA,"""it should become standard to present the full distribution of estimates that can be obtained based on all reasonable specifications. Multiverse analysis, as used in this article, seems particularly promising in this regard. In addition, one can complement summary tables (e.g., descriptive statistics and regression tables) with visualizations that disclose the full variance in raw data and results (Cumming 2014; Healy and Moody 2014). If the robustness analysis shows that results vary widely over the model space, then researchers need to make explicit why they chose their specific model specification. This will increase transparency and credibility of social research.""",[@Auspurg2021]
Model Construction,"Model Specification, Model Tuning",Poor Practice: pre-QRP,model,Failure to use theory in guiding model specification / using default controls in regression model that are uninformed by theory.,FALSE,NA,NA,Inverse of '*theory-guided causal reasoning to justify an appropriate model specification for identifying the parameter of interest. It is insufficient to simply throw the “usual suspects” as controls in a regression model.*',"""Unfortunately, this is common practice \'throwing the ""usual suspects"" as controls in regression model'\""","""*non-rigorous social research that does not start with a clear research question provides divergent results. However, rigorous social science research is able to provide a more consistent answer.*"" See also: @Bodner2020: ""model structure uncertainty may arise from unwittingly excluding variables of influence, utilizing surrogate variables, and/or approximating functional forms [@AscoughII:2008br].""",NA,[@Auspurg2021]
